R,C,V_in,V_out
1363.6363636363635,2.8e-06,5.0,0.0
1363.6363636363635,2.8999999999999998e-06,5.0,0.0
1363.6363636363635,2.9999999999999997e-06,5.0,0.0
1363.6363636363635,3.1e-06,5.0,0.0
1363.6363636363635,3.2e-06,5.0,0.0
1363.6363636363635,3.2999999999999997e-06,5.0,0.0
1363.6363636363635,3.3999999999999996e-06,5.0,0.0
1363.6363636363635,3.4999999999999995e-06,5.0,0.0
1363.6363636363635,3.6e-06,5.0,0.0
1363.6363636363635,3.6999999999999997e-06,5.0,0.0
1363.6363636363635,3.7999999999999996e-06,5.0,0.0
1363.6363636363635,3.9e-06,5.0,0.0
1363.6363636363635,4e-06,5.0,0.0
1363.6363636363635,4.1e-06,5.0,0.0
1363.6363636363635,4.2e-06,5.0,0.0
1363.6363636363635,4.2999999999999995e-06,5.0,0.0
1363.6363636363635,4.399999999999999e-06,5.0,0.0
1363.6363636363635,4.5e-06,5.0,0.0
1363.6363636363635,4.6e-06,5.0,0.0
1363.6363636363635,4.7e-06,5.0,0.0
1363.6363636363635,4.8e-06,5.0,0.0
1363.6363636363635,4.9e-06,5.0,0.0
1363.6363636363635,4.9999999999999996e-06,5.0,0.0
1363.6363636363635,5.0999999999999995e-06,5.0,0.0
1363.6363636363635,5.199999999999999e-06,5.0,0.0
1363.6363636363635,5.299999999999999e-06,5.0,0.0
1363.6363636363635,5.4e-06,5.0,0.0
1363.6363636363635,5.5e-06,5.0,0.0
1363.6363636363635,5.6e-06,5.0,0.0
1363.6363636363635,5.7e-06,5.0,0.0
1363.6363636363635,5.7999999999999995e-06,5.0,0.0
1363.6363636363635,5.899999999999999e-06,5.0,0.0
1363.6363636363635,5.999999999999999e-06,5.0,0.0
1363.6363636363635,6.1e-06,5.0,0.0
1363.6363636363635,6.2e-06,5.0,0.0
1363.6363636363635,6.3e-06,5.0,0.0
1363.6363636363635,6.4e-06,5.0,0.0
1363.6363636363635,6.5e-06,5.0,0.0
